ICD-10,Bezeichnung,age,value
067,"Malignant neoplasm of the trachea, bronchi and lungs",45-49,114.0
129,Other diseases of the nervous system,45-49,432.0
246,intrauterine deficiency development. fetal malnutrition and disorders associated with short gestation and low birth weight,45-49,0.0
079,Malignant neoplasm of the urinary bladder,45-49,128.0
198,Skin and subcutaneous infections,45-49,448.0
157,atherosclerosis,45-49,75.0
218,Prostatahyperplasie,45-49,72.0
077,Malignant neoplasm of the prostate,45-49,51.0
124,epilepsy,45-49,372.0
208,Changes in crook density and structure,45-49,213.0
190,Paralytic ileus and mechanical ileus without hernia,45-49,277.0
104,Mellitus diabetes,45-49,250.0
172,Other diseases of the nose and paranasal sinuses,45-49,530.0
114,Mental and behavioral disorders caused by other psychotropic substances,45-49,543.0
197,Other diseases of the digestive system,45-49,213.0
199,Other skin and subcutaneous diseases,45-49,310.0
210,Other diseases of the musculoskeletal system and connective tissue,45-49,337.0
018,Other bacterial diseases,45-49,238.0
006,Other infectious intestinal diseases,45-49,150.0
153,intracranial hemorrhage,45-49,205.0
149,pulmonary embolism,45-49,192.0
111,Other endocrine. Nutritional and metabolic disorders,45-49,141.0
170,Acute bronchitis and acute bronchiolitis,45-49,36.0
061,Malignant neoplasm of the colon,45-49,149.0
160,"Other diseases of the arteries, arterioles and capillaries",45-49,147.0
092,Leiomyom des Uterus,45-49,1469.0
126,Cerebral Transient Ischemic Attacks and Related Syndromes,45-49,127.0
142,Other diseases of the ear and mastoid process,45-49,261.0
173,Chronic diseases of the tonsils and pharyngeal tonsils,45-49,56.0
164,Other diseases of the circulatory system,45-49,134.0
185,"Other diseases of the esophagus, stomach and duodenum",45-49,176.0
196,Acute pancreatitis and other diseases of the pancreas,45-49,363.0
214,renal insufficiency,45-49,121.0
297,People who use the health service for the purpose of specific measures and medical care,45-49,293.0
086,Non-Hodgkin's Lymphoma,45-49,126.0
243,Spontaneous birth of an individual,45-49,6.0
109,obesity,45-49,538.0
064,Malignant neoplasm of the pancreas,45-49,129.0
244,Complications occurring predominantly in the puerperium and other conditions during the gestational period not elsewhere classified,45-49,14.0
227,endometriosis,45-49,531.0
267,abdominal and pelvic pain,45-49,205.0
233,Other diseases of the genitourinary system,45-49,324.0
062,"Malignant neoplasm of the rectosigmoid, rectum, anus and anal canal",45-49,150.0
005,"Diarrhea and gastroenteritis, presumably of infectious origin",45-49,143.0
298,People who use the healthcare system for other reasons,45-49,25.0
240,birth impediment,45-49,7.0
271,Fracture of the skull and facial bones,45-49,175.0
139,Other diseases of the eye and adnexa,45-49,91.0
228,Female genital prolapse,45-49,208.0
127,"Diseases of nerves, nerve roots and nerve plexus",45-49,277.0
168,Flu,45-49,106.0
200,Chronic polyarthritis and other inflammatory polyarthropathies,45-49,104.0
058,"Malignant neoplasm of the lip, oral cavity and pharynx",45-49,110.0
121,Primary Parkinson's Syndrome,45-49,24.0
087,leukemia,45-49,66.0
156,Other cerebrovascular diseases,45-49,117.0
167,Other acute upper respiratory tract infections,45-49,74.0
241,postpartum hemorrhage,45-49,10.0
279,Injury to other internal organs,45-49,132.0
183,Ulcer ventriculi and Ulcus duodeni,45-49,81.0
145,Essential (primary) hypertension,45-49,73.0
093,Benign neoplasm of the ovary,45-49,154.0
063,Malignant neoplasm of the liver and intrahepatic bile ducts,45-49,56.0
229,"Non-inflammatory diseases of the ovary, uterine tube and ligament latum",45-49,265.0
080,Other malignant neoplasms of the urinary organs,45-49,65.0
171,Chronic sinusitis,45-49,213.0
076,Other malignant neoplasms of the female genital organs,45-49,120.0
174,Other diseases of the upper respiratory tract,45-49,138.0
134,Retinal detachment and retinal tear,45-49,138.0
082,Malignant neoplasm of the brain,45-49,131.0
162,Varicose veins of the lower extremities,45-49,195.0
194,Other diseases of the liver,45-49,107.0
112,dementia,45-49,3.0
128,Cerebral palsy and other paralytic syndromes,45-49,129.0
060,Malignant neoplasm of the stomach,45-49,105.0
268,Fever of unknown cause,45-49,65.0
088,"Other malignant neoplasms of the lymphatic, haematopoietic and related tissues",45-49,58.0
176,Bronchial asthma,45-49,92.0
222,Other diseases of the male genital organs,45-49,125.0
256,Congenital malformations of the circulatory system,45-49,103.0
184,gastritis and duodenitis,45-49,114.0
041,Other viral diseases,45-49,65.0
237,"Edema, proteinuria and hypertension during pregnancy, labor and the puerperium",45-49,46.0
284,"Poisoning by medicinal products, drugs and biologically active substances",45-49,137.0
193,Alcoholic Liver Disease,45-49,177.0
238,"Placenta previa, placental abruption and prepartum hemorrhage",45-49,28.0
216,Zystitis,45-49,30.0
236,Other pregnancy with abortive outcome,45-49,17.0
099,Hemorrhagic diathesis and other diseases of the blood and blood-forming organs,45-49,76.0
072,Malignant neoplasms of mesothelial tissue and soft tissue,45-49,93.0
122,Alzheimer's disease,45-49,0.0
103,Other diseases of the thyroid,45-49,184.0
182,"Other diseases of the oral cavity, salivary glands and jaws",45-49,103.0
133,Cataract and other affections of the lens,45-49,17.0
204,Systemic diseases of the connective tissue,45-49,68.0
146,Other hypertensive diseases,45-49,23.0
287,Other and unspecified damage caused by external causes,45-49,110.0
189,Crohn's disease and ulcerative colitis,45-49,105.0
135,glaucoma,45-49,23.0
071,Other malignant neoplasms of the skin,45-49,20.0
098,Other anemias,45-49,46.0
097,iron deficiency anemia,45-49,52.0
125,Migraine and other headache syndromes,45-49,132.0
057,Other infectious and parasitic diseases,45-49,46.0
140,Otitis media and other diseases of the middle ear and the mastoid process,45-49,117.0
223,diseases of the mammary glands,45-49,167.0
065,Other malignant neoplasms of the digestive organs,45-49,37.0
075,Malignant neoplasm of other and unspecified parts of the uterus,45-49,57.0
123,Multiple Sclerosis,45-49,131.0
261,Other malformations of the urogenital system,45-49,16.0
159,Arterial embolism and thrombosis,45-49,49.0
209,Osteomyelitis,45-49,44.0
059,Malignant neoplasm of the esophagus,45-49,22.0
220,hydrocele and spermatocele,45-49,101.0
248,Intrauterine hypoxia and asphyxia during childbirth,45-49,0.0
219,Other diseases of the prostate,45-49,52.0
070,Malignant melanoma of the skin,45-49,74.0
290,People who use the healthcare system for examination and clarification,45-49,38.0
264,Other congenital malformations and deformities of the musculoskeletal system,45-49,17.0
165,Acute pharyngitis and acute tonsillitis,45-49,34.0
102,Hyperthyroidism (Thyrotoxicosis),45-49,110.0
296,Postpartum care and examination,45-49,1.0
265,Other congenital malformations,45-49,32.0
181,Other diseases of the teeth and periodontium,45-49,41.0
078,Other malignant neoplasms of the male genital organs,45-49,112.0
283,burns and chemical burns,45-49,62.0
161,"Phlebitis, thrombophlebitis, venous embolism and thrombosis",45-49,59.0
120,Inflammatory diseases of the central nervous system,45-49,54.0
230,menstrual disorders,45-49,235.0
282,Consequences of entering a foreign body through a natural orifice,45-49,22.0
034,Varicella [chicken pox] and zoster,45-49,19.0
155,"Stroke, not referred to as hemorrhage or infarction",45-49,30.0
226,Other inflammatory diseases of the female pelvic organs,45-49,68.0
247,birth trauma,45-49,0.0
235,Medically induced abortion,45-49,8.0
259,Other congenital malformations of the digestive system,45-49,5.0
999,unknown,45-49,30.0
105,malnutrition,45-49,40.0
118,intellectual disability,45-49,73.0
069,Malignant neoplasm of bone and articular cartilage,45-49,28.0
110,Volumenmangel,45-49,13.0
285,Toxic effects of mainly non-medically used substances,45-49,53.0
030,Virusenzephalitis,45-49,35.0
091,Benign neoplasm of the mammary gland,45-49,75.0
132,Keratitis and other diseases of the sclera and cornea,45-49,18.0
280,Crushing and traumatic amputations of specified and multiple body regions,45-49,50.0
251,Other infections specific to the perinatal period,45-49,0.0
074,Malignant neoplasm of the cervix uteri,45-49,92.0
066,Malignant neoplasms of the larynx,45-49,23.0
234,Spontaneous abortion,45-49,5.0
085,Hodgkin's disease [lymphogranulomatosis],45-49,30.0
292,Other people with potential health risks related to communicable diseases,45-49,13.0
224,salpingitis and oophoritis,45-49,79.0
263,Congenital deformities of the feet,45-49,6.0
042,Mykosen,45-49,14.0
094,Benign neoplasm of the hamstrings,45-49,33.0
068,Other malignant neoplasms of the respiratory and intrathoracic organs,45-49,22.0
100,Certain disorders involving the immune system,45-49,36.0
262,Congenital deformities of the hip,45-49,5.0
252,Hemolytic disease in the fetus and newborn,45-49,0.0
257,lip-. Cleft jaw and palate,45-49,3.0
141,hearing loss,45-49,18.0
245,Damage to the fetus and newborn from maternal factors and from complications of pregnancy. labor and delivery,45-49,0.0
260,Nondescensus testis,45-49,1.0
033,Infections caused by herpes viruses [Herpes simplexl,45-49,5.0
255,Other congenital malformations of the nervous system,45-49,3.0
212,Other glomerular diseases,45-49,18.0
095,Benign neoplasm of the brain and other parts of the central nervous system,45-49,24.0
136,Strabismus,45-49,23.0
081,Malignant neoplasm of the eye and the ocular appendages,45-49,23.0
089,Carcinoma in situ der Cervix uteri,45-49,46.0
277,Injury to the eye and orbit,45-49,23.0
232,female sterility,45-49,3.0
007,tuberculosis of the respiratory organs,45-49,10.0
231,climacteric disorders,45-49,12.0
221,"Foreskin hypertrophy, phimosis and paraphimosis",45-49,2.0
269,Senilität,45-49,0.0
107,Other vitamin deficiencies,45-49,12.0
177,bronchiectasis,45-49,12.0
166,Acute laryngitis and tracheitis,45-49,2.0
144,Chronic rheumatic heart disease,45-49,13.0
250,Congenital infectious and parasitic diseases,45-49,0.0
090,Benign neoplasm of the skin,45-49,5.0
038,Other viral hepatitis,45-49,7.0
083,Malignant neoplasm of other parts of the central nervous system,45-49,6.0
008,Other tuberculosis,45-49,12.0
048,Echinococci,45-49,7.0
130,inflammation of the eyelid,45-49,0.0
039,HIV disease [Human Immunodeficiency Virus Disease],45-49,13.0
023,Sexually Transmitted Chlamydia Diseases,45-49,4.0
158,Other peripheral vascular diseases,45-49,6.0
266,Chromosomal abnormalities not classified elsewhere,45-49,1.0
043,Malaria,45-49,13.0
211,Acute and rapidly progressive nephritic syndromes,45-49,5.0
024,Other infections primarily transmitted through sexual intercourse,45-49,2.0
022,Gonococcal infection,45-49,0.0
178,Pneumokoniosis,45-49,0.0
016,Meningococcal Infection,45-49,1.0
021,Other syphilis,45-49,5.0
180,dental caries,45-49,1.0
131,Conjunctivitis and other affections of the conjunctiva,45-49,1.0
258,"Absence, atresia and stenosis of the small intestine",45-49,0.0
254,Spina bifida,45-49,0.0
032,Other arthropod-borne viral diseases and viral haemorrhagic fevers,45-49,3.0
293,contraceptive measures,45-49,4.0
053,Other helminths,45-49,0.0
138,blindness and poor eyesight,45-49,3.0
225,Inflammatory disease of the cervix,45-49,3.0
015,whooping cough,45-49,0.0
003,Shigellosis [Bacterial dysentery],45-49,1.0
037,Acute viral hepatitis B,45-49,5.0
004,Amoebiasis [amoebic dysentery],45-49,0.0
275,Fractures involving multiple body regions,45-49,0.0
137,accommodation disorders and refractive errors,45-49,0.0
020,Frühsyphilis,45-49,2.0
143,Acute rheumatic fever,45-49,0.0
101,Thyroid diseases caused by iodine deficiency,45-49,0.0
035,measles,45-49,0.0
289,"Consequences of injuries, poisoning and other effects of external causes",45-49,0.0
046,Schistosomiasis [Bilharziosis],45-49,1.0
040,Mumps,45-49,0.0
044,leishmaniasis,45-49,2.0
010,Brucellosis,45-49,0.0
002,Typhus abdominalis und Paratyphus,45-49,0.0
108,Consequences of malnutrition and other nutritional deficiencies,45-49,0.0
055,sequelae of poliomyelitis,45-49,0.0
294,Prenatal screening and other monitoring of pregnancy,45-49,0.0
047,Infestation by other trematodes (flukes),45-49,0.0
013,Other tetanus,45-49,0.0
025,relapsing fever,45-49,0.0
051,Filariose,45-49,0.0
001,Cholera,45-49,0.0
011,leprosy,45-49,0.0
106,Vitamin-A-Mangel,45-49,0.0
201,Osteoarthritis,50-54,3272.0
295,live births by place of birth,50-54,0.0
242,Other complications during pregnancy and childbirth,50-54,7.0
274,Fractures of other parts of the extremities,50-54,3150.0
169,Pneumonia,50-54,1976.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,50-54,1554.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",50-54,2151.0
116,mood disorders,50-54,3510.0
206,Other diseases of the spine and back,50-54,1712.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,50-54,8.0
281,Other injuries to specified and unspecified and multiple body regions,50-54,1899.0
207,Diseases of the quail tissue,50-54,2893.0
278,intracranial injury,50-54,763.0
151,heart failure,50-54,278.0
273,Fracture of the Femur,50-54,328.0
154,Stroke,50-54,748.0
148,Other ischemic heart diseases,50-54,1060.0
147,Acute myocardial infarction,50-54,1522.0
150,conduction disorders and cardiac arrhythmias,50-54,843.0
195,Cholelithiasis and Chelezystitis,50-54,1544.0
203,Other diseases of the joints,50-54,1520.0
119,Other mental and behavioral disorders,50-54,643.0
113,Mental and behavioral disorders caused by alcohol,50-54,2360.0
115,"Schizophrenia, schizotypal and delusional disorders",50-54,1508.0
272,"Fracture of the neck, thorax or pelvis",50-54,743.0
213,Tubulointerstitial kidney disease,50-54,1204.0
117,"Neurotic, stress and somatoform disorders",50-54,1338.0
192,Other diseases of the intestine and peritoneum,50-54,1133.0
096,Other in situ and benign neoplasms and neoplasms with uncertain or unknown behavior,50-54,1224.0
205,Cervical and other disc damage,50-54,1475.0
276,"Dislocation, sprain and strain of specified and multiple body regions",50-54,1005.0
084,"Malignant neoplasm of other, imprecisely specified, secondary and unspecified localizations as well as at several localizations",50-54,952.0
217,Other diseases of the urinary system,50-54,606.0
186,Diseases of the Appendix,50-54,796.0
179,Other diseases of the respiratory system,50-54,602.0
152,Other heart diseases,50-54,542.0
017,Sepsis,50-54,393.0
187,inguinal hernia,50-54,960.0
191,Darmes diverticulosis,50-54,870.0
073,Malignant neoplasm of the mammary gland,50-54,1270.0
215,Urolithiasis,50-54,1147.0
188,Other Hrnia,50-54,957.0
253,Other conditions originating in the perinatal period,50-54,0.0
202,Acquired deformities of the extremities,50-54,1035.0
175,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases",50-54,289.0
249,Other neonatal respiratory diseases originating in the perinatal period,50-54,0.0
067,"Malignant neoplasm of the trachea, bronchi and lungs",50-54,409.0
129,Other diseases of the nervous system,50-54,582.0
246,intrauterine deficiency development. fetal malnutrition and disorders associated with short gestation and low birth weight,50-54,0.0
079,Malignant neoplasm of the urinary bladder,50-54,242.0
198,Skin and subcutaneous infections,50-54,461.0
157,atherosclerosis,50-54,226.0
218,Prostatahyperplasie,50-54,273.0
077,Malignant neoplasm of the prostate,50-54,228.0
124,epilepsy,50-54,449.0
208,Changes in crook density and structure,50-54,291.0
190,Paralytic ileus and mechanical ileus without hernia,50-54,397.0
104,Mellitus diabetes,50-54,416.0
172,Other diseases of the nose and paranasal sinuses,50-54,578.0
114,Mental and behavioral disorders caused by other psychotropic substances,50-54,480.0
197,Other diseases of the digestive system,50-54,367.0
199,Other skin and subcutaneous diseases,50-54,433.0
210,Other diseases of the musculoskeletal system and connective tissue,50-54,477.0
018,Other bacterial diseases,50-54,347.0
006,Other infectious intestinal diseases,50-54,196.0
153,intracranial hemorrhage,50-54,324.0
149,pulmonary embolism,50-54,283.0
111,Other endocrine. Nutritional and metabolic disorders,50-54,276.0
170,Acute bronchitis and acute bronchiolitis,50-54,49.0
061,Malignant neoplasm of the colon,50-54,289.0
160,"Other diseases of the arteries, arterioles and capillaries",50-54,257.0
092,Leiomyom des Uterus,50-54,873.0
126,Cerebral Transient Ischemic Attacks and Related Syndromes,50-54,237.0
142,Other diseases of the ear and mastoid process,50-54,424.0
173,Chronic diseases of the tonsils and pharyngeal tonsils,50-54,54.0
164,Other diseases of the circulatory system,50-54,186.0
185,"Other diseases of the esophagus, stomach and duodenum",50-54,260.0
196,Acute pancreatitis and other diseases of the pancreas,50-54,409.0
214,renal insufficiency,50-54,155.0
297,People who use the health service for the purpose of specific measures and medical care,50-54,301.0
086,Non-Hodgkin's Lymphoma,50-54,242.0
243,Spontaneous birth of an individual,50-54,0.0
109,obesity,50-54,538.0
064,Malignant neoplasm of the pancreas,50-54,210.0
244,Complications occurring predominantly in the puerperium and other conditions during the gestational period not elsewhere classified,50-54,0.0
227,endometriosis,50-54,275.0
267,abdominal and pelvic pain,50-54,233.0
233,Other diseases of the genitourinary system,50-54,351.0
062,"Malignant neoplasm of the rectosigmoid, rectum, anus and anal canal",50-54,257.0
005,"Diarrhea and gastroenteritis, presumably of infectious origin",50-54,151.0
298,People who use the healthcare system for other reasons,50-54,55.0
240,birth impediment,50-54,1.0
271,Fracture of the skull and facial bones,50-54,182.0
139,Other diseases of the eye and adnexa,50-54,128.0
228,Female genital prolapse,50-54,290.0
127,"Diseases of nerves, nerve roots and nerve plexus",50-54,352.0
168,Flu,50-54,129.0
200,Chronic polyarthritis and other inflammatory polyarthropathies,50-54,153.0
058,"Malignant neoplasm of the lip, oral cavity and pharynx",50-54,274.0
121,Primary Parkinson's Syndrome,50-54,75.0
087,leukemia,50-54,141.0
156,Other cerebrovascular diseases,50-54,188.0
167,Other acute upper respiratory tract infections,50-54,89.0
241,postpartum hemorrhage,50-54,2.0
279,Injury to other internal organs,50-54,201.0
183,Ulcer ventriculi and Ulcus duodeni,50-54,113.0
145,Essential (primary) hypertension,50-54,134.0
093,Benign neoplasm of the ovary,50-54,259.0
063,Malignant neoplasm of the liver and intrahepatic bile ducts,50-54,94.0
229,"Non-inflammatory diseases of the ovary, uterine tube and ligament latum",50-54,180.0
080,Other malignant neoplasms of the urinary organs,50-54,174.0
171,Chronic sinusitis,50-54,252.0
076,Other malignant neoplasms of the female genital organs,50-54,198.0
174,Other diseases of the upper respiratory tract,50-54,166.0
134,Retinal detachment and retinal tear,50-54,272.0
082,Malignant neoplasm of the brain,50-54,234.0
162,Varicose veins of the lower extremities,50-54,252.0
194,Other diseases of the liver,50-54,169.0
112,dementia,50-54,7.0
128,Cerebral palsy and other paralytic syndromes,50-54,187.0
060,Malignant neoplasm of the stomach,50-54,141.0
268,Fever of unknown cause,50-54,133.0
088,"Other malignant neoplasms of the lymphatic, haematopoietic and related tissues",50-54,130.0
176,Bronchial asthma,50-54,130.0
222,Other diseases of the male genital organs,50-54,176.0
256,Congenital malformations of the circulatory system,50-54,122.0
184,gastritis and duodenitis,50-54,151.0
041,Other viral diseases,50-54,80.0
237,"Edema, proteinuria and hypertension during pregnancy, labor and the puerperium",50-54,5.0
284,"Poisoning by medicinal products, drugs and biologically active substances",50-54,171.0
193,Alcoholic Liver Disease,50-54,259.0
238,"Placenta previa, placental abruption and prepartum hemorrhage",50-54,3.0
216,Zystitis,50-54,56.0
236,Other pregnancy with abortive outcome,50-54,5.0
099,Hemorrhagic diathesis and other diseases of the blood and blood-forming organs,50-54,76.0
072,Malignant neoplasms of mesothelial tissue and soft tissue,50-54,137.0
122,Alzheimer's disease,50-54,2.0
103,Other diseases of the thyroid,50-54,253.0
182,"Other diseases of the oral cavity, salivary glands and jaws",50-54,134.0
133,Cataract and other affections of the lens,50-54,66.0
204,Systemic diseases of the connective tissue,50-54,116.0
146,Other hypertensive diseases,50-54,55.0
287,Other and unspecified damage caused by external causes,50-54,118.0
189,Crohn's disease and ulcerative colitis,50-54,101.0
135,glaucoma,50-54,59.0
071,Other malignant neoplasms of the skin,50-54,55.0
098,Other anemias,50-54,65.0
097,iron deficiency anemia,50-54,41.0
125,Migraine and other headache syndromes,50-54,159.0
057,Other infectious and parasitic diseases,50-54,76.0
140,Otitis media and other diseases of the middle ear and the mastoid process,50-54,97.0
223,diseases of the mammary glands,50-54,170.0
065,Other malignant neoplasms of the digestive organs,50-54,85.0
075,Malignant neoplasm of other and unspecified parts of the uterus,50-54,115.0
123,Multiple Sclerosis,50-54,235.0
261,Other malformations of the urogenital system,50-54,19.0
159,Arterial embolism and thrombosis,50-54,67.0
209,Osteomyelitis,50-54,75.0
059,Malignant neoplasm of the esophagus,50-54,73.0
220,hydrocele and spermatocele,50-54,135.0
248,Intrauterine hypoxia and asphyxia during childbirth,50-54,0.0
219,Other diseases of the prostate,50-54,108.0
070,Malignant melanoma of the skin,50-54,100.0
290,People who use the healthcare system for examination and clarification,50-54,63.0
264,Other congenital malformations and deformities of the musculoskeletal system,50-54,13.0
165,Acute pharyngitis and acute tonsillitis,50-54,26.0
102,Hyperthyroidism (Thyrotoxicosis),50-54,116.0
296,Postpartum care and examination,50-54,3.0
265,Other congenital malformations,50-54,46.0
181,Other diseases of the teeth and periodontium,50-54,50.0
078,Other malignant neoplasms of the male genital organs,50-54,75.0
283,burns and chemical burns,50-54,64.0
161,"Phlebitis, thrombophlebitis, venous embolism and thrombosis",50-54,57.0
120,Inflammatory diseases of the central nervous system,50-54,93.0
230,menstrual disorders,50-54,139.0
282,Consequences of entering a foreign body through a natural orifice,50-54,33.0
034,Varicella [chicken pox] and zoster,50-54,36.0
155,"Stroke, not referred to as hemorrhage or infarction",50-54,48.0
226,Other inflammatory diseases of the female pelvic organs,50-54,57.0
247,birth trauma,50-54,0.0
235,Medically induced abortion,50-54,1.0
259,Other congenital malformations of the digestive system,50-54,15.0
999,unknown,50-54,26.0
105,malnutrition,50-54,26.0
118,intellectual disability,50-54,62.0
069,Malignant neoplasm of bone and articular cartilage,50-54,36.0
110,Volumenmangel,50-54,22.0
285,Toxic effects of mainly non-medically used substances,50-54,43.0
030,Virusenzephalitis,50-54,48.0
091,Benign neoplasm of the mammary gland,50-54,65.0
132,Keratitis and other diseases of the sclera and cornea,50-54,43.0
280,Crushing and traumatic amputations of specified and multiple body regions,50-54,45.0
251,Other infections specific to the perinatal period,50-54,0.0
074,Malignant neoplasm of the cervix uteri,50-54,72.0
066,Malignant neoplasms of the larynx,50-54,56.0
234,Spontaneous abortion,50-54,2.0
085,Hodgkin's disease [lymphogranulomatosis],50-54,45.0
292,Other people with potential health risks related to communicable diseases,50-54,8.0
224,salpingitis and oophoritis,50-54,71.0
263,Congenital deformities of the feet,50-54,5.0
042,Mykosen,50-54,39.0
094,Benign neoplasm of the hamstrings,50-54,47.0
068,Other malignant neoplasms of the respiratory and intrathoracic organs,50-54,66.0
100,Certain disorders involving the immune system,50-54,60.0
262,Congenital deformities of the hip,50-54,2.0
252,Hemolytic disease in the fetus and newborn,50-54,0.0
257,lip-. Cleft jaw and palate,50-54,0.0
141,hearing loss,50-54,45.0
245,Damage to the fetus and newborn from maternal factors and from complications of pregnancy. labor and delivery,50-54,0.0
260,Nondescensus testis,50-54,0.0
033,Infections caused by herpes viruses [Herpes simplexl,50-54,13.0
255,Other congenital malformations of the nervous system,50-54,4.0
212,Other glomerular diseases,50-54,21.0
095,Benign neoplasm of the brain and other parts of the central nervous system,50-54,32.0
136,Strabismus,50-54,18.0
081,Malignant neoplasm of the eye and the ocular appendages,50-54,20.0
089,Carcinoma in situ der Cervix uteri,50-54,34.0
277,Injury to the eye and orbit,50-54,16.0
232,female sterility,50-54,0.0
007,tuberculosis of the respiratory organs,50-54,13.0
231,climacteric disorders,50-54,44.0
221,"Foreskin hypertrophy, phimosis and paraphimosis",50-54,7.0
269,Senilität,50-54,0.0
107,Other vitamin deficiencies,50-54,21.0
177,bronchiectasis,50-54,4.0
166,Acute laryngitis and tracheitis,50-54,5.0
144,Chronic rheumatic heart disease,50-54,19.0
250,Congenital infectious and parasitic diseases,50-54,0.0
090,Benign neoplasm of the skin,50-54,7.0
038,Other viral hepatitis,50-54,9.0
083,Malignant neoplasm of other parts of the central nervous system,50-54,11.0
008,Other tuberculosis,50-54,8.0
048,Echinococci,50-54,5.0
130,inflammation of the eyelid,50-54,1.0
039,HIV disease [Human Immunodeficiency Virus Disease],50-54,26.0
023,Sexually Transmitted Chlamydia Diseases,50-54,1.0
158,Other peripheral vascular diseases,50-54,9.0
266,Chromosomal abnormalities not classified elsewhere,50-54,1.0
043,Malaria,50-54,12.0
211,Acute and rapidly progressive nephritic syndromes,50-54,1.0
024,Other infections primarily transmitted through sexual intercourse,50-54,2.0
022,Gonococcal infection,50-54,1.0
178,Pneumokoniosis,50-54,1.0
016,Meningococcal Infection,50-54,3.0
021,Other syphilis,50-54,6.0
180,dental caries,50-54,6.0
131,Conjunctivitis and other affections of the conjunctiva,50-54,1.0
258,"Absence, atresia and stenosis of the small intestine",50-54,0.0
254,Spina bifida,50-54,0.0
032,Other arthropod-borne viral diseases and viral haemorrhagic fevers,50-54,3.0
293,contraceptive measures,50-54,0.0
053,Other helminths,50-54,1.0
138,blindness and poor eyesight,50-54,2.0
225,Inflammatory disease of the cervix,50-54,2.0
015,whooping cough,50-54,2.0
003,Shigellosis [Bacterial dysentery],50-54,1.0
037,Acute viral hepatitis B,50-54,1.0
004,Amoebiasis [amoebic dysentery],50-54,1.0
275,Fractures involving multiple body regions,50-54,0.0
137,accommodation disorders and refractive errors,50-54,4.0
020,Frühsyphilis,50-54,0.0
143,Acute rheumatic fever,50-54,1.0
101,Thyroid diseases caused by iodine deficiency,50-54,1.0
035,measles,50-54,0.0
289,"Consequences of injuries, poisoning and other effects of external causes",50-54,1.0
046,Schistosomiasis [Bilharziosis],50-54,0.0
040,Mumps,50-54,1.0
044,leishmaniasis,50-54,0.0
010,Brucellosis,50-54,2.0
002,Typhus abdominalis und Paratyphus,50-54,0.0
108,Consequences of malnutrition and other nutritional deficiencies,50-54,0.0
055,sequelae of poliomyelitis,50-54,1.0
294,Prenatal screening and other monitoring of pregnancy,50-54,0.0
047,Infestation by other trematodes (flukes),50-54,0.0
013,Other tetanus,50-54,0.0
025,relapsing fever,50-54,0.0
051,Filariose,50-54,0.0
001,Cholera,50-54,0.0
011,leprosy,50-54,0.0
106,Vitamin-A-Mangel,50-54,0.0
201,Osteoarthritis,55-59,5428.0
295,live births by place of birth,55-59,0.0
242,Other complications during pregnancy and childbirth,55-59,1.0
274,Fractures of other parts of the extremities,55-59,3620.0
169,Pneumonia,55-59,2680.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,55-59,1784.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",55-59,2683.0
116,mood disorders,55-59,3250.0
206,Other diseases of the spine and back,55-59,2177.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,55-59,0.0
281,Other injuries to specified and unspecified and multiple body regions,55-59,1975.0
207,Diseases of the quail tissue,55-59,3343.0
278,intracranial injury,55-59,873.0
151,heart failure,55-59,457.0
273,Fracture of the Femur,55-59,476.0
154,Stroke,55-59,1138.0
148,Other ischemic heart diseases,55-59,1873.0
147,Acute myocardial infarction,55-59,2027.0
150,conduction disorders and cardiac arrhythmias,55-59,1291.0
195,Cholelithiasis and Chelezystitis,55-59,1644.0
203,Other diseases of the joints,55-59,1429.0
119,Other mental and behavioral disorders,55-59,509.0
113,Mental and behavioral disorders caused by alcohol,55-59,2081.0
115,"Schizophrenia, schizotypal and delusional disorders",55-59,1231.0
272,"Fracture of the neck, thorax or pelvis",55-59,875.0
213,Tubulointerstitial kidney disease,55-59,1324.0
117,"Neurotic, stress and somatoform disorders",55-59,1208.0
192,Other diseases of the intestine and peritoneum,55-59,1122.0
096,Other in situ and benign neoplasms and neoplasms with uncertain or unknown behavior,55-59,1364.0
205,Cervical and other disc damage,55-59,1555.0
276,"Dislocation, sprain and strain of specified and multiple body regions",55-59,773.0
084,"Malignant neoplasm of other, imprecisely specified, secondary and unspecified localizations as well as at several localizations",55-59,1291.0
217,Other diseases of the urinary system,55-59,782.0
186,Diseases of the Appendix,55-59,757.0
179,Other diseases of the respiratory system,55-59,839.0
152,Other heart diseases,55-59,708.0
017,Sepsis,55-59,657.0
187,inguinal hernia,55-59,1163.0
191,Darmes diverticulosis,55-59,1128.0
073,Malignant neoplasm of the mammary gland,55-59,1145.0
215,Urolithiasis,55-59,1166.0
188,Other Hrnia,55-59,1032.0
253,Other conditions originating in the perinatal period,55-59,0.0
202,Acquired deformities of the extremities,55-59,1217.0
175,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases",55-59,624.0
