,hospital,city,canton_name,main_code,disease_group,number_of_cases_2014_2019
601,Insel Gruppe AG (nicht-universitär),Bern,Bern,I,"Diseases of the bones, joints, connective tissues",16830
602,Insel Gruppe AG (nicht-universitär),Bern,Bern,J,Complex conditions,8328
603,Insel Gruppe AG (nicht-universitär),Bern,Bern,K,Skin disorders,69
604,Insel Gruppe AG (nicht-universitär),Bern,Bern,M,Palliative Medicine,48
605,Insel Gruppe AG (universitär),Bern,Bern,A,Cardiac diseases,168902
606,Insel Gruppe AG (universitär),Bern,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",52740
607,Insel Gruppe AG (universitär),Bern,Bern,C,Geriatric Medicine,3973
608,Insel Gruppe AG (universitär),Bern,Bern,D,Lung diseases,17701
609,Insel Gruppe AG (universitär),Bern,Bern,E,Diseases of the abdominal organs,17913
610,Insel Gruppe AG (universitär),Bern,Bern,F,Vascular Diseases,25911
611,Insel Gruppe AG (universitär),Bern,Bern,G,Gynecology and obstetrics,48240
612,Insel Gruppe AG (universitär),Bern,Bern,H,Diseases of the urinary tract and male genitalia,13646
613,Insel Gruppe AG (universitär),Bern,Bern,I,"Diseases of the bones, joints, connective tissues",22466
614,Insel Gruppe AG (universitär),Bern,Bern,J,Complex conditions,40272
615,Insel Gruppe AG (universitär),Bern,Bern,K,Skin disorders,2121
616,Insel Gruppe AG (universitär),Bern,Bern,L,Highly specialized medicine,3271
617,Insel Gruppe AG (universitär),Bern,Bern,M,Palliative Medicine,2199
618,Ita Wegman Geburtshaus,Arlesheim,Basel-Landschaft,G,Gynecology and obstetrics,49
619,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,A,Cardiac diseases,391
620,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",192
621,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,C,Geriatric Medicine,16
622,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,D,Lung diseases,624
623,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,E,Diseases of the abdominal organs,331
624,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,F,Vascular Diseases,14
625,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,G,Gynecology and obstetrics,15
626,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,H,Diseases of the urinary tract and male genitalia,163
627,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,I,"Diseases of the bones, joints, connective tissues",739
628,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,J,Complex conditions,57
629,Kantonales Spital Appenzell,Appenzell,Appenzell Innerrhoden,K,Skin disorders,4
630,Kantonsspital Aarau AG,Aarau,Aargau,A,Cardiac diseases,60110
631,Kantonsspital Aarau AG,Aarau,Aargau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",30056
632,Kantonsspital Aarau AG,Aarau,Aargau,C,Geriatric Medicine,1605
633,Kantonsspital Aarau AG,Aarau,Aargau,D,Lung diseases,13542
634,Kantonsspital Aarau AG,Aarau,Aargau,E,Diseases of the abdominal organs,12572
635,Kantonsspital Aarau AG,Aarau,Aargau,F,Vascular Diseases,7657
636,Kantonsspital Aarau AG,Aarau,Aargau,G,Gynecology and obstetrics,45357
637,Kantonsspital Aarau AG,Aarau,Aargau,H,Diseases of the urinary tract and male genitalia,9486
638,Kantonsspital Aarau AG,Aarau,Aargau,I,"Diseases of the bones, joints, connective tissues",16727
639,Kantonsspital Aarau AG,Aarau,Aargau,J,Complex conditions,15140
640,Kantonsspital Aarau AG,Aarau,Aargau,K,Skin disorders,470
641,Kantonsspital Aarau AG,Aarau,Aargau,L,Highly specialized medicine,560
642,Kantonsspital Baden AG,Baden,Aargau,A,Cardiac diseases,23066
643,Kantonsspital Baden AG,Baden,Aargau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",10823
644,Kantonsspital Baden AG,Baden,Aargau,C,Geriatric Medicine,6631
645,Kantonsspital Baden AG,Baden,Aargau,D,Lung diseases,12143
646,Kantonsspital Baden AG,Baden,Aargau,E,Diseases of the abdominal organs,15259
647,Kantonsspital Baden AG,Baden,Aargau,F,Vascular Diseases,3633
648,Kantonsspital Baden AG,Baden,Aargau,G,Gynecology and obstetrics,41280
649,Kantonsspital Baden AG,Baden,Aargau,H,Diseases of the urinary tract and male genitalia,7181
650,Kantonsspital Baden AG,Baden,Aargau,I,"Diseases of the bones, joints, connective tissues",8903
651,Kantonsspital Baden AG,Baden,Aargau,J,Complex conditions,8234
652,Kantonsspital Baden AG,Baden,Aargau,K,Skin disorders,131
653,Kantonsspital Baden AG,Baden,Aargau,M,Palliative Medicine,748
654,Kantonsspital Baselland,Liestal,Basel-Landschaft,A,Cardiac diseases,35153
655,Kantonsspital Baselland,Liestal,Basel-Landschaft,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",9420
656,Kantonsspital Baselland,Liestal,Basel-Landschaft,C,Geriatric Medicine,14047
657,Kantonsspital Baselland,Liestal,Basel-Landschaft,D,Lung diseases,21263
658,Kantonsspital Baselland,Liestal,Basel-Landschaft,E,Diseases of the abdominal organs,17180
659,Kantonsspital Baselland,Liestal,Basel-Landschaft,F,Vascular Diseases,5789
660,Kantonsspital Baselland,Liestal,Basel-Landschaft,G,Gynecology and obstetrics,19558
661,Kantonsspital Baselland,Liestal,Basel-Landschaft,H,Diseases of the urinary tract and male genitalia,10327
662,Kantonsspital Baselland,Liestal,Basel-Landschaft,I,"Diseases of the bones, joints, connective tissues",13223
663,Kantonsspital Baselland,Liestal,Basel-Landschaft,J,Complex conditions,11012
664,Kantonsspital Baselland,Liestal,Basel-Landschaft,K,Skin disorders,163
665,Kantonsspital Baselland,Liestal,Basel-Landschaft,L,Highly specialized medicine,3
666,Kantonsspital Baselland,Liestal,Basel-Landschaft,M,Palliative Medicine,4
667,Kantonsspital Glarus,Glarus,Glarus,A,Cardiac diseases,4075
668,Kantonsspital Glarus,Glarus,Glarus,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1898
669,Kantonsspital Glarus,Glarus,Glarus,C,Geriatric Medicine,2199
670,Kantonsspital Glarus,Glarus,Glarus,D,Lung diseases,2680
671,Kantonsspital Glarus,Glarus,Glarus,E,Diseases of the abdominal organs,3267
672,Kantonsspital Glarus,Glarus,Glarus,F,Vascular Diseases,327
673,Kantonsspital Glarus,Glarus,Glarus,G,Gynecology and obstetrics,8961
674,Kantonsspital Glarus,Glarus,Glarus,H,Diseases of the urinary tract and male genitalia,2000
675,Kantonsspital Glarus,Glarus,Glarus,I,"Diseases of the bones, joints, connective tissues",3108
676,Kantonsspital Glarus,Glarus,Glarus,J,Complex conditions,2780
677,Kantonsspital Glarus,Glarus,Glarus,K,Skin disorders,28
678,Kantonsspital Glarus,Glarus,Glarus,M,Palliative Medicine,195
679,Kantonsspital Graubünden,Chur,Graubünden,A,Cardiac diseases,34675
680,Kantonsspital Graubünden,Chur,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",7774
681,Kantonsspital Graubünden,Chur,Graubünden,C,Geriatric Medicine,5069
682,Kantonsspital Graubünden,Chur,Graubünden,D,Lung diseases,8714
683,Kantonsspital Graubünden,Chur,Graubünden,E,Diseases of the abdominal organs,10611
684,Kantonsspital Graubünden,Chur,Graubünden,F,Vascular Diseases,5652
685,Kantonsspital Graubünden,Chur,Graubünden,G,Gynecology and obstetrics,27973
686,Kantonsspital Graubünden,Chur,Graubünden,H,Diseases of the urinary tract and male genitalia,8668
687,Kantonsspital Graubünden,Chur,Graubünden,I,"Diseases of the bones, joints, connective tissues",10380
688,Kantonsspital Graubünden,Chur,Graubünden,J,Complex conditions,6780
689,Kantonsspital Graubünden,Chur,Graubünden,K,Skin disorders,218
690,Kantonsspital Graubünden,Chur,Graubünden,M,Palliative Medicine,2935
691,Kantonsspital Nidwalden,Stans,Nidwalden,A,Cardiac diseases,5298
692,Kantonsspital Nidwalden,Stans,Nidwalden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1582
693,Kantonsspital Nidwalden,Stans,Nidwalden,C,Geriatric Medicine,202
694,Kantonsspital Nidwalden,Stans,Nidwalden,D,Lung diseases,2240
695,Kantonsspital Nidwalden,Stans,Nidwalden,E,Diseases of the abdominal organs,4892
696,Kantonsspital Nidwalden,Stans,Nidwalden,F,Vascular Diseases,87
697,Kantonsspital Nidwalden,Stans,Nidwalden,G,Gynecology and obstetrics,11428
698,Kantonsspital Nidwalden,Stans,Nidwalden,H,Diseases of the urinary tract and male genitalia,1148
699,Kantonsspital Nidwalden,Stans,Nidwalden,I,"Diseases of the bones, joints, connective tissues",2552
700,Kantonsspital Nidwalden,Stans,Nidwalden,J,Complex conditions,1578
701,Kantonsspital Nidwalden,Stans,Nidwalden,K,Skin disorders,53
702,Kantonsspital Obwalden,Sarnen,Obwalden,A,Cardiac diseases,3439
703,Kantonsspital Obwalden,Sarnen,Obwalden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1060
704,Kantonsspital Obwalden,Sarnen,Obwalden,C,Geriatric Medicine,123
705,Kantonsspital Obwalden,Sarnen,Obwalden,D,Lung diseases,1598
706,Kantonsspital Obwalden,Sarnen,Obwalden,E,Diseases of the abdominal organs,1614
707,Kantonsspital Obwalden,Sarnen,Obwalden,F,Vascular Diseases,43
708,Kantonsspital Obwalden,Sarnen,Obwalden,G,Gynecology and obstetrics,5654
709,Kantonsspital Obwalden,Sarnen,Obwalden,H,Diseases of the urinary tract and male genitalia,535
710,Kantonsspital Obwalden,Sarnen,Obwalden,I,"Diseases of the bones, joints, connective tissues",2079
711,Kantonsspital Obwalden,Sarnen,Obwalden,J,Complex conditions,1073
712,Kantonsspital Obwalden,Sarnen,Obwalden,K,Skin disorders,21
713,Kantonsspital St. Gallen,St. Gallen,St. Gallen,A,Cardiac diseases,79363
714,Kantonsspital St. Gallen,St. Gallen,St. Gallen,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",28831
715,Kantonsspital St. Gallen,St. Gallen,St. Gallen,C,Geriatric Medicine,2611
716,Kantonsspital St. Gallen,St. Gallen,St. Gallen,D,Lung diseases,18816
717,Kantonsspital St. Gallen,St. Gallen,St. Gallen,E,Diseases of the abdominal organs,28010
718,Kantonsspital St. Gallen,St. Gallen,St. Gallen,F,Vascular Diseases,10980
719,Kantonsspital St. Gallen,St. Gallen,St. Gallen,G,Gynecology and obstetrics,45043
720,Kantonsspital St. Gallen,St. Gallen,St. Gallen,H,Diseases of the urinary tract and male genitalia,10687
721,Kantonsspital St. Gallen,St. Gallen,St. Gallen,I,"Diseases of the bones, joints, connective tissues",23721
722,Kantonsspital St. Gallen,St. Gallen,St. Gallen,J,Complex conditions,19770
723,Kantonsspital St. Gallen,St. Gallen,St. Gallen,K,Skin disorders,583
724,Kantonsspital St. Gallen,St. Gallen,St. Gallen,L,Highly specialized medicine,813
725,Kantonsspital St. Gallen,St. Gallen,St. Gallen,M,Palliative Medicine,3326
726,Kantonsspital Uri,Altdorf,Uri,A,Cardiac diseases,3792
727,Kantonsspital Uri,Altdorf,Uri,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1464
728,Kantonsspital Uri,Altdorf,Uri,C,Geriatric Medicine,347
729,Kantonsspital Uri,Altdorf,Uri,D,Lung diseases,2078
730,Kantonsspital Uri,Altdorf,Uri,E,Diseases of the abdominal organs,2069
731,Kantonsspital Uri,Altdorf,Uri,F,Vascular Diseases,165
732,Kantonsspital Uri,Altdorf,Uri,G,Gynecology and obstetrics,6495
733,Kantonsspital Uri,Altdorf,Uri,H,Diseases of the urinary tract and male genitalia,958
734,Kantonsspital Uri,Altdorf,Uri,I,"Diseases of the bones, joints, connective tissues",3981
735,Kantonsspital Uri,Altdorf,Uri,J,Complex conditions,1110
736,Kantonsspital Uri,Altdorf,Uri,K,Skin disorders,32
737,Kantonsspital Winterthur,Winterthur,Zürich,A,Cardiac diseases,38049
738,Kantonsspital Winterthur,Winterthur,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",11065
739,Kantonsspital Winterthur,Winterthur,Zürich,C,Geriatric Medicine,6096
740,Kantonsspital Winterthur,Winterthur,Zürich,D,Lung diseases,15753
741,Kantonsspital Winterthur,Winterthur,Zürich,E,Diseases of the abdominal organs,19022
742,Kantonsspital Winterthur,Winterthur,Zürich,F,Vascular Diseases,8868
743,Kantonsspital Winterthur,Winterthur,Zürich,G,Gynecology and obstetrics,45142
744,Kantonsspital Winterthur,Winterthur,Zürich,H,Diseases of the urinary tract and male genitalia,10851
745,Kantonsspital Winterthur,Winterthur,Zürich,I,"Diseases of the bones, joints, connective tissues",17450
746,Kantonsspital Winterthur,Winterthur,Zürich,J,Complex conditions,11228
747,Kantonsspital Winterthur,Winterthur,Zürich,K,Skin disorders,234
748,Kantonsspital Winterthur,Winterthur,Zürich,L,Highly specialized medicine,47
749,Kantonsspital Winterthur,Winterthur,Zürich,M,Palliative Medicine,1838
750,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,A,Cardiac diseases,1415
751,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",366
752,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,C,Geriatric Medicine,81
753,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,D,Lung diseases,1938
754,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,E,Diseases of the abdominal organs,481
755,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,F,Vascular Diseases,2
756,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,G,Gynecology and obstetrics,1838
757,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,H,Diseases of the urinary tract and male genitalia,158
758,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,I,"Diseases of the bones, joints, connective tissues",296
759,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,J,Complex conditions,159
760,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,K,Skin disorders,63
761,Klinik Arlesheim AG,Arlesheim,Bassel-Landschaft,M,Palliative Medicine,507
762,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,A,Cardiac diseases,24
763,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",13
764,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,C,Geriatric Medicine,21
765,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,E,Diseases of the abdominal organs,323
766,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,F,Vascular Diseases,12
767,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,G,Gynecology and obstetrics,3
768,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,H,Diseases of the urinary tract and male genitalia,1
769,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,I,"Diseases of the bones, joints, connective tissues",3499
770,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,J,Complex conditions,47
771,Klinik Gut St. Moritz AG,St. Moritz,Graubünden,K,Skin disorders,1
772,Klinik Hirslanden AG,Zürich,Zürich,A,Cardiac diseases,76565
773,Klinik Hirslanden AG,Zürich,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",8145
774,Klinik Hirslanden AG,Zürich,Zürich,C,Geriatric Medicine,1158
775,Klinik Hirslanden AG,Zürich,Zürich,D,Lung diseases,6851
776,Klinik Hirslanden AG,Zürich,Zürich,E,Diseases of the abdominal organs,17183
777,Klinik Hirslanden AG,Zürich,Zürich,F,Vascular Diseases,7192
778,Klinik Hirslanden AG,Zürich,Zürich,G,Gynecology and obstetrics,37058
779,Klinik Hirslanden AG,Zürich,Zürich,H,Diseases of the urinary tract and male genitalia,8782
780,Klinik Hirslanden AG,Zürich,Zürich,I,"Diseases of the bones, joints, connective tissues",19740
781,Klinik Hirslanden AG,Zürich,Zürich,J,Complex conditions,6100
782,Klinik Hirslanden AG,Zürich,Zürich,K,Skin disorders,43
783,Klinik Hirslanden AG,Zürich,Zürich,L,Highly specialized medicine,405
784,Klinik Hohmad AG,Thun,Bern,A,Cardiac diseases,3
785,Klinik Hohmad AG,Thun,Bern,C,Geriatric Medicine,2
786,Klinik Hohmad AG,Thun,Bern,E,Diseases of the abdominal organs,2754
787,Klinik Hohmad AG,Thun,Bern,F,Vascular Diseases,8
788,Klinik Hohmad AG,Thun,Bern,G,Gynecology and obstetrics,27
789,Klinik Hohmad AG,Thun,Bern,H,Diseases of the urinary tract and male genitalia,1135
790,Klinik Hohmad AG,Thun,Bern,I,"Diseases of the bones, joints, connective tissues",1172
791,Klinik Hohmad AG,Thun,Bern,K,Skin disorders,1
792,Klinik Im Park,Zürich,Zürich,A,Cardiac diseases,33560
793,Klinik Im Park,Zürich,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",209
794,Klinik Im Park,Zürich,Zürich,C,Geriatric Medicine,358
795,Klinik Im Park,Zürich,Zürich,D,Lung diseases,1129
796,Klinik Im Park,Zürich,Zürich,E,Diseases of the abdominal organs,3988
797,Klinik Im Park,Zürich,Zürich,F,Vascular Diseases,3513
798,Klinik Im Park,Zürich,Zürich,G,Gynecology and obstetrics,16804
799,Klinik Im Park,Zürich,Zürich,H,Diseases of the urinary tract and male genitalia,1824
800,Klinik Im Park,Zürich,Zürich,I,"Diseases of the bones, joints, connective tissues",7243
801,Klinik Im Park,Zürich,Zürich,J,Complex conditions,1591
802,Klinik Im Park,Zürich,Zürich,K,Skin disorders,22
803,Klinik Im Park,Zürich,Zürich,L,Highly specialized medicine,17
804,Klinik Pyramide am See AG,Zürich,Zürich,A,Cardiac diseases,8
805,Klinik Pyramide am See AG,Zürich,Zürich,C,Geriatric Medicine,3
806,Klinik Pyramide am See AG,Zürich,Zürich,D,Lung diseases,1
807,Klinik Pyramide am See AG,Zürich,Zürich,E,Diseases of the abdominal organs,780
808,Klinik Pyramide am See AG,Zürich,Zürich,G,Gynecology and obstetrics,6857
809,Klinik Pyramide am See AG,Zürich,Zürich,H,Diseases of the urinary tract and male genitalia,9
810,Klinik Pyramide am See AG,Zürich,Zürich,I,"Diseases of the bones, joints, connective tissues",806
811,Klinik Pyramide am See AG,Zürich,Zürich,J,Complex conditions,12
812,Klinik Pyramide am See AG,Zürich,Zürich,K,Skin disorders,12
813,Klinik Seeschau AG,Kreuzlingen,Thurgau,A,Cardiac diseases,7
814,Klinik Seeschau AG,Kreuzlingen,Thurgau,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",7
815,Klinik Seeschau AG,Kreuzlingen,Thurgau,C,Geriatric Medicine,10
816,Klinik Seeschau AG,Kreuzlingen,Thurgau,E,Diseases of the abdominal organs,1512
817,Klinik Seeschau AG,Kreuzlingen,Thurgau,F,Vascular Diseases,11
818,Klinik Seeschau AG,Kreuzlingen,Thurgau,G,Gynecology and obstetrics,3087
819,Klinik Seeschau AG,Kreuzlingen,Thurgau,H,Diseases of the urinary tract and male genitalia,2671
820,Klinik Seeschau AG,Kreuzlingen,Thurgau,I,"Diseases of the bones, joints, connective tissues",2723
821,Klinik Seeschau AG,Kreuzlingen,Thurgau,J,Complex conditions,77
822,Klinik Seeschau AG,Kreuzlingen,Thurgau,K,Skin disorders,4
823,Klinik Tiefenbrunnen AG,Zollikon,Zürich,E,Diseases of the abdominal organs,2
824,Klinik Tiefenbrunnen AG,Zollikon,Zürich,G,Gynecology and obstetrics,253
825,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,A,Cardiac diseases,77693
826,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",41041
827,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,C,Geriatric Medicine,6598
828,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,D,Lung diseases,39905
829,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,E,Diseases of the abdominal organs,25169
830,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,F,Vascular Diseases,7652
831,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,G,Gynecology and obstetrics,87714
832,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,H,Diseases of the urinary tract and male genitalia,9346
833,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,I,"Diseases of the bones, joints, connective tissues",25680
834,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,J,Complex conditions,32471
835,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,K,Skin disorders,772
836,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,L,Highly specialized medicine,1913
837,Les Hôpitaux Universitaires de Genève HUG,Genève,Genève,M,Palliative Medicine,4630
838,Limmatklinik AG,Zürich,Zürich,A,Cardiac diseases,1
839,Limmatklinik AG,Zürich,Zürich,C,Geriatric Medicine,1
840,Limmatklinik AG,Zürich,Zürich,E,Diseases of the abdominal organs,96
841,Limmatklinik AG,Zürich,Zürich,F,Vascular Diseases,4
842,Limmatklinik AG,Zürich,Zürich,G,Gynecology and obstetrics,4855
843,Limmatklinik AG,Zürich,Zürich,I,"Diseases of the bones, joints, connective tissues",36
844,Limmatklinik AG,Zürich,Zürich,J,Complex conditions,8
845,Limmatklinik AG,Zürich,Zürich,K,Skin disorders,3
846,Lindenhofgruppe AG,Bern,Bern,A,Cardiac diseases,33173
847,Lindenhofgruppe AG,Bern,Bern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",2011
848,Lindenhofgruppe AG,Bern,Bern,C,Geriatric Medicine,1112
849,Lindenhofgruppe AG,Bern,Bern,D,Lung diseases,12242
850,Lindenhofgruppe AG,Bern,Bern,E,Diseases of the abdominal organs,21036
851,Lindenhofgruppe AG,Bern,Bern,F,Vascular Diseases,8966
852,Lindenhofgruppe AG,Bern,Bern,G,Gynecology and obstetrics,71986
853,Lindenhofgruppe AG,Bern,Bern,H,Diseases of the urinary tract and male genitalia,10991
854,Lindenhofgruppe AG,Bern,Bern,I,"Diseases of the bones, joints, connective tissues",38576
855,Lindenhofgruppe AG,Bern,Bern,J,Complex conditions,5220
856,Lindenhofgruppe AG,Bern,Bern,K,Skin disorders,92
857,Lindenhofgruppe AG,Bern,Bern,L,Highly specialized medicine,3
858,Lindenhofgruppe AG,Bern,Bern,M,Palliative Medicine,600
859,Luzerner Kantonsspital,Luzern,Luzern,A,Cardiac diseases,72441
860,Luzerner Kantonsspital,Luzern,Luzern,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",24609
861,Luzerner Kantonsspital,Luzern,Luzern,C,Geriatric Medicine,6006
862,Luzerner Kantonsspital,Luzern,Luzern,D,Lung diseases,19225
863,Luzerner Kantonsspital,Luzern,Luzern,E,Diseases of the abdominal organs,24566
864,Luzerner Kantonsspital,Luzern,Luzern,F,Vascular Diseases,10579
865,Luzerner Kantonsspital,Luzern,Luzern,G,Gynecology and obstetrics,79503
866,Luzerner Kantonsspital,Luzern,Luzern,H,Diseases of the urinary tract and male genitalia,12295
867,Luzerner Kantonsspital,Luzern,Luzern,I,"Diseases of the bones, joints, connective tissues",20139
868,Luzerner Kantonsspital,Luzern,Luzern,J,Complex conditions,18451
869,Luzerner Kantonsspital,Luzern,Luzern,K,Skin disorders,444
870,Luzerner Kantonsspital,Luzern,Luzern,L,Highly specialized medicine,1
871,Luzerner Kantonsspital,Luzern,Luzern,M,Palliative Medicine,975
872,Maison de Naissance Tilia Sàrl,Neuchâtel,Neuchâtel,G,Gynecology and obstetrics,478
873,Maison de Naissance le Petit Prince,Villars-sur-Glâne,Fribourg,G,Gynecology and obstetrics,1417
874,Maison de naissance La Roseraie,Genève,Genève,G,Gynecology and obstetrics,1046
875,Maison de naissance Les Cigognes,Vicques,Jura,G,Gynecology and obstetrics,267
876,Matthea Geburtshaus,Basel,Basel-stadt,G,Gynecology and obstetrics,179
877,Merian Iselin Klinik,Basel,Basel-stadt,A,Cardiac diseases,33
878,Merian Iselin Klinik,Basel,Basel-stadt,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",8
879,Merian Iselin Klinik,Basel,Basel-stadt,C,Geriatric Medicine,124
880,Merian Iselin Klinik,Basel,Basel-stadt,D,Lung diseases,9
881,Merian Iselin Klinik,Basel,Basel-stadt,E,Diseases of the abdominal organs,1332
882,Merian Iselin Klinik,Basel,Basel-stadt,F,Vascular Diseases,1872
883,Merian Iselin Klinik,Basel,Basel-stadt,G,Gynecology and obstetrics,1797
884,Merian Iselin Klinik,Basel,Basel-stadt,H,Diseases of the urinary tract and male genitalia,4488
885,Merian Iselin Klinik,Basel,Basel-stadt,I,"Diseases of the bones, joints, connective tissues",9709
886,Merian Iselin Klinik,Basel,Basel-stadt,J,Complex conditions,111
887,Merian Iselin Klinik,Basel,Basel-stadt,K,Skin disorders,13
888,Nouvelle Clinique Vert­Pré,Conches,Valais,A,Cardiac diseases,2
889,Nouvelle Clinique Vert­Pré,Conches,Valais,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1
890,Nouvelle Clinique Vert­Pré,Conches,Valais,C,Geriatric Medicine,1
891,Nouvelle Clinique Vert­Pré,Conches,Valais,D,Lung diseases,7
892,Nouvelle Clinique Vert­Pré,Conches,Valais,E,Diseases of the abdominal organs,63
893,Nouvelle Clinique Vert­Pré,Conches,Valais,G,Gynecology and obstetrics,183
894,Nouvelle Clinique Vert­Pré,Conches,Valais,H,Diseases of the urinary tract and male genitalia,307
895,Nouvelle Clinique Vert­Pré,Conches,Valais,I,"Diseases of the bones, joints, connective tissues",15
896,Nouvelle Clinique Vert­Pré,Conches,Valais,J,Complex conditions,1
897,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,A,Cardiac diseases,462
898,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",75
899,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,C,Geriatric Medicine,53
900,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,D,Lung diseases,822
901,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,E,Diseases of the abdominal organs,644
902,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,F,Vascular Diseases,3
903,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,G,Gynecology and obstetrics,11138
904,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,H,Diseases of the urinary tract and male genitalia,910
905,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,I,"Diseases of the bones, joints, connective tissues",338
906,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,J,Complex conditions,212
907,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,K,Skin disorders,21
908,Paracelsus­Spital Richterswil AG,Richterswil,Zürich,M,Palliative Medicine,115
909,Praxisklinik Rennbahn AG,Muttenz,Basel-Landschaft,A,Cardiac diseases,3
910,Praxisklinik Rennbahn AG,Muttenz,Basel-Landschaft,E,Diseases of the abdominal organs,81
911,Praxisklinik Rennbahn AG,Muttenz,Basel-Landschaft,F,Vascular Diseases,1
912,Praxisklinik Rennbahn AG,Muttenz,Basel-Landschaft,G,Gynecology and obstetrics,3
913,Praxisklinik Rennbahn AG,Muttenz,Basel-Landschaft,I,"Diseases of the bones, joints, connective tissues",269
914,Praxisklinik Rennbahn AG,Muttenz,Basel-Landschaft,J,Complex conditions,86
915,Privatklinik Bethanien,Zürich,Zürich,A,Cardiac diseases,549
916,Privatklinik Bethanien,Zürich,Zürich,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",28
917,Privatklinik Bethanien,Zürich,Zürich,C,Geriatric Medicine,47
918,Privatklinik Bethanien,Zürich,Zürich,D,Lung diseases,277
